DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,SAMORITA,64.14,65.57,64.05,65.19,22404
24-12-18,SAMORITA,65.19,65.19,63.95,64.24,15278
26-12-18,SAMORITA,64.05,66.62,64.05,65.29,22888
27-12-18,SAMORITA,66.05,66.52,64.24,65.86,22211
01-01-19,SAMORITA,66.33,66.33,64.33,65.57,30083
01-02-19,SAMORITA,65.67,67.38,65.57,66.24,33066
01-03-19,SAMORITA,66.43,68.05,66.43,67.38,46656
01-06-19,SAMORITA,68.52,69.1,67.38,68.62,38349
01-07-19,SAMORITA,68.05,69.95,67.67,68.62,121876
01-08-19,SAMORITA,69.48,71.76,69.48,70.05,114548
01-09-19,SAMORITA,70.43,71.38,69.19,69.29,91741
01-10-19,SAMORITA,69.86,70.24,68.14,68.52,43313
13-01-19,SAMORITA,69.29,70.81,69,70.05,67899
14-01-19,SAMORITA,70.9,71.76,69.38,69.57,129627
15-01-19,SAMORITA,69.67,74.24,69.67,72.9,242242
16-01-19,SAMORITA,74.62,75,71.76,72.05,82763
17-01-19,SAMORITA,71.38,72.24,70.05,70.33,67359
20-01-19,SAMORITA,70.43,71.1,68.62,69.1,40682
21-01-19,SAMORITA,71.1,71.1,68.71,69.86,29247
22-01-19,SAMORITA,70.24,70.43,68.71,68.81,12371
23-01-19,SAMORITA,68.81,69.76,68.81,69,35518
24-01-19,SAMORITA,68.71,69.19,68.71,68.9,26135
27-01-19,SAMORITA,69.67,69.67,68.52,68.62,51251
28-01-19,SAMORITA,68.43,69,67.86,68.43,29898
29-01-19,SAMORITA,68.43,69.38,68.05,68.9,19319
30-01-19,SAMORITA,69.38,71.29,68.62,69.86,49815
31-01-19,SAMORITA,69.86,69.95,68.52,68.62,15755
02-03-19,SAMORITA,69.86,69.86,68.14,68.62,43122
02-04-19,SAMORITA,69.76,69.86,68.71,69.29,34872
02-05-19,SAMORITA,69.95,69.95,68.71,68.9,17956
02-06-19,SAMORITA,68.9,69.38,67.76,68.05,24793
02-07-19,SAMORITA,67.86,69,67.76,68.43,37580
02-10-19,SAMORITA,69.38,69.76,67.57,67.95,17819
02-11-19,SAMORITA,67.67,68.9,67.67,68.33,11672
02-12-19,SAMORITA,68.14,68.52,68.14,68.43,14591
13-02-19,SAMORITA,68.33,69,68.33,68.52,9799
14-02-19,SAMORITA,68.43,69,67.29,67.67,55722
17-02-19,SAMORITA,68.71,69.48,67.86,69.29,16025
18-02-19,SAMORITA,69.48,69.48,68.24,68.71,13147
19-02-19,SAMORITA,69,69,67.67,67.86,17600
20-02-19,SAMORITA,68.81,68.9,67.57,67.76,16646
24-02-19,SAMORITA,67.86,68.62,67.76,68.43,6062
25-02-19,SAMORITA,67.76,68.62,67.57,67.95,15938
26-02-19,SAMORITA,68.43,68.43,67,67.38,19492
27-02-19,SAMORITA,67.1,67.38,66.43,66.52,26107
03-03-19,SAMORITA,66.52,67.29,66.05,66.24,15943
03-04-19,SAMORITA,65.86,66.05,64.62,65.57,37336
03-05-19,SAMORITA,66.24,66.52,64.71,65,6363
03-06-19,SAMORITA,65.38,65.86,64.14,64.33,13084
03-07-19,SAMORITA,65.48,65.48,64.24,64.81,2586
03-10-19,SAMORITA,65.67,65.67,65.1,65.48,6426
03-11-19,SAMORITA,64.9,65.19,64.71,64.9,11030
03-12-19,SAMORITA,65.38,65.38,64.24,64.62,10872
13-03-19,SAMORITA,64.43,64.71,63.76,63.76,23839
14-03-19,SAMORITA,64.33,64.43,62.9,63.1,15080
18-03-19,SAMORITA,63.57,63.57,62.33,62.81,10941
19-03-19,SAMORITA,62.43,64.24,62.33,63.57,10188
20-03-19,SAMORITA,63.67,63.76,63.48,63.67,8440
21-03-19,SAMORITA,62.9,63.95,62.9,63.76,7382
24-03-19,SAMORITA,64.33,64.43,63.57,63.67,10443
25-03-19,SAMORITA,63.67,63.76,63.48,63.67,3782
27-03-19,SAMORITA,63.57,63.76,63.57,63.76,4087
28-03-19,SAMORITA,64.05,64.62,63.67,64.14,13307
31-03-19,SAMORITA,65.38,65.38,63.67,63.86,11293
04-01-19,SAMORITA,64.05,64.05,63.76,63.76,7440
04-02-19,SAMORITA,63.86,63.95,63.1,63.19,17068
04-03-19,SAMORITA,63.19,63.48,62.62,62.81,6220
04-04-19,SAMORITA,62.81,63.29,62.52,62.9,3802
04-07-19,SAMORITA,63,63,61.86,61.95,7520
04-08-19,SAMORITA,62.81,62.81,61.48,61.86,9365
04-09-19,SAMORITA,61.86,63,61.38,61.38,7035
04-10-19,SAMORITA,63.29,63.29,60.71,61,11719
04-11-19,SAMORITA,61.38,62.52,61.38,62.14,3570
15-04-19,SAMORITA,62.33,63.57,61.86,62.05,1923
16-04-19,SAMORITA,62.05,62.05,61,61.29,2553
17-04-19,SAMORITA,61.86,61.86,60.52,60.71,16808
18-04-19,SAMORITA,61.48,63,61.48,62.05,7178
21-04-19,SAMORITA,63.29,65.38,62.24,63.38,19856
23-04-19,SAMORITA,62.9,64.24,62.52,62.9,6213
24-04-19,SAMORITA,61.86,62.9,61.38,61.95,21153
25-04-19,SAMORITA,61.95,62.43,60.9,61.29,6055
28-04-19,SAMORITA,61.1,62.43,61,62.05,3704
29-04-19,SAMORITA,62.14,62.62,61.19,61.48,10570
30-04-19,SAMORITA,62.62,65.67,61.86,63.76,9576
05-02-19,SAMORITA,63,64.71,62.81,63.95,23679
05-05-19,SAMORITA,64.33,66.24,64.33,65.86,20681
05-06-19,SAMORITA,64.81,66.05,64.81,65.67,12166
05-07-19,SAMORITA,65.1,65.1,64.43,64.71,7241
05-08-19,SAMORITA,63.95,64.71,63.76,64.24,2728
05-09-19,SAMORITA,64.24,64.24,63.67,63.86,4835
05-12-19,SAMORITA,63.76,64.33,63.76,64.14,13001
13-05-19,SAMORITA,63.1,64.71,63.1,63.76,3918
14-05-19,SAMORITA,64.81,65.67,63.86,65.29,7478
15-05-19,SAMORITA,64.33,65.57,63.95,64.71,5447
16-05-19,SAMORITA,64.81,64.81,64.33,64.71,1509
19-05-19,SAMORITA,64.81,65.76,64.81,65.67,7069
20-05-19,SAMORITA,65.67,66.14,64.71,65.48,20597
21-05-19,SAMORITA,64.71,65.67,64.71,65.67,12149
