DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
23-12-18,SPCL,86.42,89.36,86.42,87.1,349737
24-12-18,SPCL,86.91,88.08,83.96,87.4,310185
26-12-18,SPCL,87,87.2,83.18,85.04,243670
27-12-18,SPCL,85.73,90.53,85.73,90.14,803460
01-01-19,SPCL,90.34,93.47,89.65,92.79,350012
01-02-19,SPCL,92.79,95.73,91.91,94.85,737848
01-03-19,SPCL,95.34,96.81,92.89,94.45,607419
01-06-19,SPCL,94.75,94.95,92.3,93.18,574673
01-07-19,SPCL,93.28,93.28,90.63,91.42,348501
01-08-19,SPCL,91.42,94.16,91.22,92.89,230726
01-09-19,SPCL,93.28,99.06,93.28,98.08,831436
16-01-19,SPCL,101.12,102.1,99.65,99.95,374813
17-01-19,SPCL,100.93,100.93,97.79,98.18,304467
23-01-19,SPCL,100.93,100.93,97.69,98.18,185978
24-01-19,SPCL,98.77,100.53,97.79,98.08,223407
28-01-19,SPCL,98.18,98.18,90.44,92.2,339385
29-01-19,SPCL,91.32,92.3,87.79,89.16,291611
30-01-19,SPCL,88.47,90.04,86.81,87.69,163679
31-01-19,SPCL,87.4,90.73,86.81,90.14,196981
02-03-19,SPCL,91.12,91.61,88.87,89.45,182278
02-04-19,SPCL,89.75,91.81,89.75,90.53,115838
02-05-19,SPCL,90.53,90.73,89.36,89.55,66546
02-06-19,SPCL,91.02,91.02,88.38,88.47,52784
02-07-19,SPCL,89.85,92,89.36,91.51,87333
02-10-19,SPCL,91.51,93.96,89.65,89.95,153048
02-11-19,SPCL,91.51,91.51,89.45,89.95,70936
02-12-19,SPCL,89.65,91.32,88.87,89.06,95623
13-02-19,SPCL,90.04,91.32,89.36,91.12,169527
14-02-19,SPCL,89.45,91.81,89.45,90.53,175699
17-02-19,SPCL,89.95,90.34,89.26,89.65,62440
18-02-19,SPCL,89.65,89.85,88.57,88.67,122771
19-02-19,SPCL,88.67,89.26,88.28,88.38,24920
20-02-19,SPCL,88.47,90.24,88.47,89.36,45274
24-02-19,SPCL,89.45,90.83,88.47,88.77,78085
25-02-19,SPCL,88.38,89.75,88.38,88.77,75998
26-02-19,SPCL,88.87,89.36,88.38,88.47,72947
27-02-19,SPCL,88.38,88.57,88.18,88.28,51405
03-03-19,SPCL,87.89,87.89,86.12,86.71,154479
03-04-19,SPCL,86.91,87.4,86.42,86.51,67771
03-05-19,SPCL,86.91,89.65,86.91,89.06,203445
03-06-19,SPCL,90.04,93.28,89.16,92.59,257653
03-07-19,SPCL,93.67,93.67,90.93,92.49,95976
03-10-19,SPCL,92.4,93.08,90.63,91.61,75386
03-11-19,SPCL,90.53,91.22,89.55,89.85,53680
03-12-19,SPCL,89.85,90.34,88.38,88.57,93987
13-03-19,SPCL,88.77,88.87,86.81,86.91,92030
14-03-19,SPCL,86.42,88.08,86.42,87.4,84311
18-03-19,SPCL,87.4,87.89,86.91,87.49,56312
19-03-19,SPCL,87.49,87.69,86.91,87.2,60985
20-03-19,SPCL,86.71,88.08,86.71,87.4,62825
21-03-19,SPCL,87.98,87.98,85.83,86.32,85054
24-03-19,SPCL,85.93,86.42,85.14,86.12,96396
25-03-19,SPCL,86.91,87.59,86.51,87.2,26684
27-03-19,SPCL,87.79,87.89,85.93,86.91,66929
28-03-19,SPCL,86.51,87.3,85.73,86.91,82063
31-03-19,SPCL,86.12,86.42,84.55,85.83,67579
04-01-19,SPCL,85.53,86.42,85.53,86.02,26579
04-02-19,SPCL,85.63,87.89,85.63,86.51,69486
04-03-19,SPCL,87.3,87.3,86.02,86.12,38847
04-04-19,SPCL,85.53,86.51,85.53,86.22,76883
04-07-19,SPCL,85.63,85.73,85.14,85.44,37950
04-08-19,SPCL,83.96,84.95,81.51,83.28,46406
04-09-19,SPCL,81.81,83.96,81.71,82.89,26091
04-10-19,SPCL,81.91,83.87,81.51,82.89,16379
04-11-19,SPCL,82.89,83.38,81.32,82.49,24494
15-04-19,SPCL,82.69,83.87,82.2,82.4,9851
16-04-19,SPCL,82,83.28,79.95,81.12,35004
17-04-19,SPCL,81.51,82.3,79.65,81.42,40544
18-04-19,SPCL,82.2,84.06,81.51,83.87,31499
21-04-19,SPCL,82.59,84.26,82.59,83.87,21627
23-04-19,SPCL,82.1,82.49,82,82.3,9470
24-04-19,SPCL,81.02,83.47,81.02,82.2,46337
25-04-19,SPCL,82.4,82.89,81.61,82.3,83882
28-04-19,SPCL,82.98,83.38,81.22,81.91,36900
29-04-19,SPCL,81.12,81.32,78.87,79.36,45402
30-04-19,SPCL,80.44,80.83,79.55,80.04,47751
05-02-19,SPCL,81.32,88.28,81.32,85.14,84289
05-05-19,SPCL,87,87,83.96,84.75,85726
05-06-19,SPCL,84.55,84.75,82.4,82.79,49221
05-07-19,SPCL,84.06,84.16,82.4,82.4,66037
05-08-19,SPCL,82.4,82.98,81.12,81.61,11851
05-09-19,SPCL,82.3,83.38,82,83.08,33702
05-12-19,SPCL,82.49,82.98,81.81,82.49,46452
13-05-19,SPCL,81.71,82.98,81.61,82.1,8573
14-05-19,SPCL,81.61,82.69,80.83,81.61,5661
15-05-19,SPCL,80.83,82.79,80.63,81.81,10226
16-05-19,SPCL,81.22,82.49,81.22,82.1,2490
19-05-19,SPCL,83.28,85.04,82.89,83.38,37677
20-05-19,SPCL,82.2,83.28,81.81,82.89,6097
21-05-19,SPCL,83.08,83.08,80.63,80.93,19495
22-05-19,SPCL,80.93,81.22,79.85,79.95,78680
23-05-19,SPCL,79.85,80.63,78.87,79.55,26029
26-05-19,SPCL,79.75,80.53,78.67,79.16,18419
27-05-19,SPCL,79.36,79.55,78.47,78.57,40308
28-05-19,SPCL,80.53,80.53,78.87,79.26,22961
29-05-19,SPCL,80.44,80.44,78.87,79.06,15315
30-05-19,SPCL,80.53,81.51,78.77,81.12,51039
06-09-19,SPCL,81.51,81.61,80.93,81.22,10226
06-10-19,SPCL,81.51,82.49,81.42,81.61,54656
06-11-19,SPCL,81.81,84.16,81.81,83.57,94958
06-12-19,SPCL,83.77,84.26,82,82.89,58204
13-06-19,SPCL,83.08,83.28,82.2,82.4,25995
16-06-19,SPCL,82.69,83.08,81.32,81.61,39770
17-06-19,SPCL,82,82.2,79.75,80.44,24226
18-06-19,SPCL,80.53,81.42,80.04,81.22,16936
19-06-19,SPCL,82.2,82.2,80.24,80.53,14699
20-06-19,SPCL,80.24,81.42,79.55,79.65,34152
23-06-19,SPCL,79.06,79.55,78.57,78.77,28375
24-06-19,SPCL,78.77,79.45,78.67,78.67,50222
25-06-19,SPCL,78.77,79.26,78.28,78.57,70553
26-06-19,SPCL,78.47,79.85,78.18,78.87,38112
27-06-19,SPCL,80.53,80.53,78.47,78.96,99997
30-06-19,SPCL,78.67,80.34,78.67,79.55,240150
07-02-19,SPCL,79.85,79.85,78.67,79.26,48328
07-03-19,SPCL,78.87,80.14,78.67,78.77,27006
07-04-19,SPCL,78.77,79.75,78.67,79.26,29620
07-07-19,SPCL,78.77,79.75,78.77,79.16,34417
07-08-19,SPCL,78.77,79.55,78.77,79.16,40608
07-09-19,SPCL,79.85,79.95,79.16,79.45,45971
07-10-19,SPCL,80.14,80.14,77.89,78.18,39508
07-11-19,SPCL,77.69,78.08,76.81,77.59,52713
14-07-19,SPCL,78.38,78.38,76.71,77.49,22412
15-07-19,SPCL,76.81,77.3,74.55,74.95,86724
16-07-19,SPCL,74.95,76.42,73.67,74.16,42644
17-07-19,SPCL,73.87,74.55,72.89,73.38,77866
18-07-19,SPCL,73.67,74.16,72.69,73.08,46118
21-07-19,SPCL,72.98,72.98,70.73,70.93,33218
22-07-19,SPCL,70.73,70.73,64.85,66.81,101450
23-07-19,SPCL,69.85,71.22,67.4,70.44,59489
24-07-19,SPCL,68.38,69.55,68.28,69.06,18423
25-07-19,SPCL,68.77,71.32,68.77,70.93,56002
28-07-19,SPCL,69.55,70.73,69.55,70.53,9848
29-07-19,SPCL,70.53,71.71,69.55,70.83,104437
30-07-19,SPCL,70.93,71.71,70.63,70.83,36343
31-07-19,SPCL,69.45,71.22,69.45,71.02,35509
08-01-19,SPCL,72.2,72.2,69.75,70.44,127001
08-04-19,SPCL,70.44,70.73,70.04,70.24,96440
08-05-19,SPCL,70.34,70.34,69.36,69.55,88203
08-06-19,SPCL,69.65,74.65,69.65,73.77,241392
08-07-19,SPCL,73.77,74.75,71.02,71.32,86889
08-08-19,SPCL,70.83,73.08,70.83,72.89,53258
18-08-19,SPCL,72.89,73.87,72.69,73.18,65881
19-08-19,SPCL,73.38,73.87,72.69,72.98,51172
20-08-19,SPCL,72.79,73.47,72.2,72.49,70869
21-08-19,SPCL,73.47,74.65,72.49,73.08,247032
22-08-19,SPCL,73.38,78.38,73.38,76.91,417701
25-08-19,SPCL,76.91,82.49,76.32,81.12,454066
26-08-19,SPCL,80.73,81.42,76.61,78.67,339669
27-08-19,SPCL,78.28,78.57,76.51,76.81,167745
28-08-19,SPCL,77.49,77.49,74.26,74.95,138111
29-08-19,SPCL,77.3,77.4,74.36,74.75,109321
09-01-19,SPCL,74.85,75.63,73.18,73.77,82801
09-02-19,SPCL,73.67,74.45,72.69,72.79,116173
09-03-19,SPCL,73.67,73.67,72.49,72.79,94128
09-04-19,SPCL,73.67,75.14,72.89,73.08,68225
09-05-19,SPCL,74.06,75.04,73.08,73.77,108539
09-08-19,SPCL,74.06,74.36,72.69,72.98,33807
09-09-19,SPCL,73.18,73.77,72.79,73.18,23625
09-11-19,SPCL,73.67,74.65,70.83,72,80437
09-12-19,SPCL,73.96,74.06,70.93,71.81,64893
15-09-19,SPCL,73.57,73.67,71.81,72.79,19504
16-09-19,SPCL,73.87,73.87,72.1,72.79,33373
17-09-19,SPCL,73.67,73.87,72.2,72.49,51252
18-09-19,SPCL,72.69,73.67,70.83,73.47,42467
19-09-19,SPCL,71.71,73.87,70.24,70.63,50782
22-09-19,SPCL,70.63,72.3,69.75,70.73,39623
23-09-19,SPCL,71.71,72.98,71.61,71.91,71617
24-09-19,SPCL,72.2,72.4,70.53,71.51,47826
25-09-19,SPCL,71.71,74.65,70.93,73.38,67733
26-09-19,SPCL,72,74.95,72,73.57,63362
29-09-19,SPCL,72.69,74.06,72.69,73.18,27665
30-09-19,SPCL,73.28,73.28,70.04,70.44,45848
10-01-19,SPCL,70.73,73.67,70.73,72.59,7745
10-02-19,SPCL,72.69,72.69,71.51,72.3,24981
10-03-19,SPCL,71.42,72.3,71.12,71.42,19020
10-06-19,SPCL,69.95,71.51,69.75,69.95,53805
10-07-19,SPCL,70.14,70.73,69.36,69.75,52553
10-09-19,SPCL,69.75,69.75,68.77,68.96,30273
10-10-19,SPCL,68.96,69.75,68.57,69.55,82372
13-10-19,SPCL,69.55,70.73,68.87,69.75,37080
14-10-19,SPCL,69.36,70.44,67.1,69.06,74331
15-10-19,SPCL,69.75,76.22,68.96,76.12,235125
16-10-19,SPCL,76.12,76.12,72.2,74.26,102676
17-10-19,SPCL,72.79,75.63,71.22,74.16,324677
20-10-19,SPCL,74.26,75.53,73.67,74.75,52381
21-10-19,SPCL,73.96,75.14,70.73,71.71,340912
22-10-19,SPCL,70.73,73.67,69.75,72.98,78965
23-10-19,SPCL,72.69,74.85,72.69,74.45,85938
24-10-19,SPCL,73.77,82.1,73.77,77.4,306253
27-10-19,SPCL,76.02,76.22,73.67,73.96,61803
28-10-19,SPCL,73.96,75.53,72.89,74.45,235686
29-10-19,SPCL,75.24,75.24,72.69,73.47,133679
30-10-19,SPCL,73.57,74.95,73.57,73.87,143015
31-10-19,SPCL,74.55,74.55,71.81,72.89,95035
11-03-19,SPCL,73.18,74.06,72.4,72.98,48639
11-04-19,SPCL,72.98,73.77,71.71,72.89,52103
11-05-19,SPCL,72.3,73.67,70.73,72,87057
11-06-19,SPCL,72.1,73.28,71.71,72.1,58075
11-07-19,SPCL,72.89,73.08,70.53,71.32,80502
11-11-19,SPCL,71.32,71.42,68.96,69.26,116447
11-12-19,SPCL,69.85,70.53,69.16,69.65,97224
13-11-19,SPCL,68.96,70.63,68.08,68.28,46587
14-11-19,SPCL,69.36,69.75,68.18,68.57,29629
17-11-19,SPCL,68.57,70.73,68.57,68.96,30704
18-11-19,SPCL,69.55,70.14,68.96,69.65,69707
19-11-19,SPCL,70.44,70.44,69.06,69.65,15530
20-11-19,SPCL,69.65,70.34,68.18,68.77,39494
21-11-19,SPCL,69.26,70.14,68.18,68.67,67230
24-11-19,SPCL,68.28,70.04,68.28,69.36,36794
25-11-19,SPCL,70.14,70.73,69.26,69.55,139703
26-11-19,SPCL,69.95,71.12,69.75,70.63,192464
27-11-19,SPCL,70.73,72.69,70.63,72.2,292160
28-11-19,SPCL,72.69,72.98,71.32,72.2,312266
12-01-19,SPCL,71.32,72.4,71.32,71.81,141069
12-02-19,SPCL,72.59,73.67,71.71,72.89,350116
12-04-19,SPCL,74.5,76.5,74,75.7,470441
12-05-19,SPCL,74.3,76.5,73.7,74.4,53046
12-08-19,SPCL,73.5,75,71.1,71.8,20664
12-09-19,SPCL,71.5,71.8,69,70.1,58290
12-10-19,SPCL,70.6,74.9,69.9,71.5,157082
12-11-19,SPCL,71.5,71.7,69.4,69.9,119495
12-12-19,SPCL,69.7,72.9,68.4,69.2,100550
15-12-19,SPCL,69.1,71.3,68.5,70.1,162484
17-12-19,SPCL,69.3,69.7,66.1,67.3,79570
18-12-19,SPCL,66.4,67.9,66.3,67.3,68051
19-12-19,SPCL,68.8,69.7,67.3,67.5,112221
22-12-19,SPCL,66.8,66.9,65.2,65.8,102276
23-12-19,SPCL,66,66.8,64.5,65,30804
24-12-19,SPCL,64.5,67.5,64.3,66.2,39155
26-12-19,SPCL,67.5,67.5,65.8,66.9,10418
29-12-19,SPCL,67,69.2,67,69,108034
30-12-19,SPCL,69.3,71.5,69.3,70,103994
01-01-20,SPCL,70.5,72,69.1,70,119703
01-02-20,SPCL,70.1,71.5,70,71.1,32853
01-05-20,SPCL,71.1,71.4,69.5,70.6,21426
01-06-20,SPCL,71.2,71.2,68.6,68.8,26707
01-07-20,SPCL,68.5,70.7,67.5,68,21924
01-08-20,SPCL,68.1,69.2,66,66.8,16286
01-09-20,SPCL,66.8,68.6,65,67.6,21713
01-12-20,SPCL,69.3,69.3,67.8,68.3,11571
13-01-20,SPCL,67.1,68.3,65.6,66.5,12643
14-01-20,SPCL,65.4,66.7,64.9,65.5,42363
15-01-20,SPCL,66.2,67.4,65.4,65.7,25713
16-01-20,SPCL,66.5,71,66.2,68.9,105877
19-01-20,SPCL,70,71.6,69.6,71,162360
20-01-20,SPCL,73.9,73.9,69.9,70.2,56832
21-01-20,SPCL,69.9,70.7,67,68,51348
22-01-20,SPCL,71.9,71.9,67.5,69.9,102174
23-01-20,SPCL,70.1,72.5,69.9,71.9,124043
26-01-20,SPCL,71.9,71.9,70,70.7,151137
27-01-20,SPCL,69.4,72.5,69.4,71.9,95483
28-01-20,SPCL,72.1,75.9,71.7,75.1,320932
29-01-20,SPCL,75.1,78.8,75.1,77.5,226413
30-01-20,SPCL,78.4,80.4,76.6,77.6,209282
02-02-20,SPCL,78.9,79.6,77.3,77.6,134921
02-03-20,SPCL,77.8,78.1,75.4,75.9,140231
02-04-20,SPCL,76.3,76.3,73.1,74,76019
02-05-20,SPCL,74.4,75,73,73.4,101404
02-06-20,SPCL,74.7,74.7,72.2,72.7,59526
02-09-20,SPCL,72.7,72.7,70,70.2,84620
02-10-20,SPCL,70.9,72.6,70.8,72,231860
02-11-20,SPCL,72.9,79,72.9,75,198808
02-12-20,SPCL,75.9,79.7,74.1,77.2,674078
13-02-20,SPCL,78,82.7,77.3,81.1,414289
16-02-20,SPCL,82.3,83.2,80,80.8,662176
17-02-20,SPCL,80.8,83.4,79.4,82.6,876656
18-02-20,SPCL,82.6,86.5,82.5,83.6,1548290
19-02-20,SPCL,83,88.9,83,86.8,1217830
