DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-12-23,AMBEEPHA,819.0,819.0,762.0,765.2,30718
2018-12-23,BATASHOE,1089.3,1097.0,1081.2,1083.6,2199
2018-12-23,BATBC,1063.37,1086.67,1063.37,1077.73,16863
2018-12-23,BERGERPBL,1318.1,1334.0,1307.0,1316.5,5814
2018-12-23,DGENX,5265.32,5289.06,5263.76,5281.78,3536
2018-12-23,DS30,1842.11,1853.51,1839.49,1850.75,9428180
2018-12-23,DSES,1209.38,1215.52,1207.94,1213.87,0
2018-12-23,DSEX,5265.32,5289.06,5263.76,5281.78,75985000
2018-12-23,EASTRNLUB,1350.0,1351.0,1325.1,1328.2,2313
2018-12-23,IBBLPBOND,937.1,939.1,937.1,938.6,95
2018-12-23,LIBRAINFU,1075.0,1084.0,1031.0,1033.9,11812
2018-12-23,LINDEBD,1099.0,1102.5,1096.5,1098.7,1568
2018-12-23,MARICO,975.0,990.0,950.0,964.9,2286
2018-12-23,MONNOSTAF,1297.94,1297.94,1173.25,1191.12,11574
2018-12-23,NORTHERN,1289.3,1289.5,1219.5,1236.1,1215
2018-12-23,NTC,817.2,817.2,782.3,784.2,32798
2018-12-23,PHARMAID,608.1,610.0,597.0,598.2,28539
2018-12-23,RECKITTBEN,2140.1,2180.0,2131.0,2152.1,3034
2018-12-23,RENATA,1025.45,1025.45,1009.27,1014.82,9981
2018-12-23,RENWICKJA,840.0,850.0,834.0,846.3,6235
2018-12-23,SONALIANSH,663.0,663.0,619.0,623.4,32857
2018-12-24,AMBEEPHA,762.5,790.0,749.0,783.9,17486
2018-12-24,ARAMIT,391.0,407.0,390.3,402.3,15221
2018-12-24,BATASHOE,1097.0,1118.0,1082.2,1094.8,475
2018-12-24,BATBC,1063.67,1086.67,1063.67,1084.97,4047
2018-12-24,BERGERPBL,1316.6,1325.0,1310.0,1315.3,5892
2018-12-24,DGENX,5281.78,5306.61,5280.46,5300.09,3574
2018-12-24,DS30,1850.75,1858.04,1848.11,1854.76,12443600
2018-12-24,DSES,1213.87,1220.3,1213.59,1218.46,0
2018-12-24,DSEX,5281.78,5306.61,5280.46,5300.09,79941100
2018-12-24,EASTRNLUB,1329.3,1358.9,1329.2,1337.5,4133
2018-12-24,IBBLPBOND,939.1,939.1,939.1,939.1,555
2018-12-24,LIBRAINFU,1040.0,1048.0,1019.0,1024.9,15263
2018-12-24,LINDEBD,1111.4,1111.5,1093.2,1098.9,1600
2018-12-24,MARICO,994.9,1034.0,955.0,973.1,1271
2018-12-24,MONNOSTAF,1202.79,1217.86,1135.36,1206.43,4897
2018-12-24,NORTHERN,1259.2,1259.2,1189.5,1205.3,2177
2018-12-24,NTC,772.3,814.9,772.3,802.0,34655
2018-12-24,PHARMAID,601.0,605.9,595.0,599.3,38759
2018-12-24,RECKITTBEN,2179.5,2179.5,2118.0,2124.6,2162
2018-12-24,RENATA,1014.82,1022.73,1011.82,1015.64,7094
2018-12-24,RENWICKJA,851.0,864.9,846.0,849.8,1491
2018-12-24,SONALIANSH,625.0,670.3,625.0,670.3,48519
2018-12-26,AMBEEPHA,789.0,812.0,787.0,794.8,22817
2018-12-26,ARAMIT,407.2,407.2,400.5,401.7,12920
2018-12-26,BATASHOE,1102.0,1106.9,1102.0,1103.0,50
2018-12-26,BATBC,1086.0,1093.33,1066.67,1088.83,17241
2018-12-26,BERGERPBL,1315.3,1325.0,1312.0,1313.8,6281
2018-12-26,DGENX,5300.09,5355.25,5300.09,5349.18,3882
2018-12-26,DS30,1854.76,1868.58,1854.76,1867.69,11682500
2018-12-26,DSES,1218.46,1228.33,1218.46,1226.76,0
2018-12-26,DSEX,5300.09,5355.25,5300.09,5349.18,98877400
2018-12-26,EASTRNLUB,1379.9,1385.0,1335.0,1339.9,1306
