DATE,TRADING CODE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-12-23,AAMRANET,53.68,54.25,53.02,53.12,62550
2018-12-23,ACMELAB,74.7,75.5,73.9,75.1,74139
2018-12-23,AIL,60.45,61.2,58.86,59.14,163921
2018-12-23,AL-HAJTEX,84.5,92.0,84.5,87.4,173522
2018-12-23,ANWARGALV,67.38,67.38,65.57,65.95,86948
2018-12-23,BBSCABLES,82.64,83.27,81.73,82.0,375251
2018-12-23,BPML,86.5,86.8,84.4,84.8,90530
2018-12-23,BRACBANK,62.61,63.04,62.35,62.87,456989
2018-12-23,BSCCL,85.4,88.3,85.4,87.8,95882
2018-12-23,BSRMLTD,73.8,74.1,72.9,73.1,284918
2018-12-23,BSRMSTEEL,56.7,56.7,55.5,55.7,52892
2018-12-23,BXPHARMA,64.5,66.05,64.41,65.5,46426
2018-12-23,DBH,102.47,102.47,97.25,97.49,11772
2018-12-23,DOREENPWR,62.22,62.22,61.25,61.57,87952
2018-12-23,FAREASTLIF,64.7,65.0,60.8,61.1,341965
2018-12-23,GQBALLPEN,74.0,76.6,73.9,75.4,36182
2018-12-23,GREENDELT,52.26,55.21,52.09,53.57,30752
2018-12-23,HAKKANIPUL,74.4,77.4,68.9,70.8,54035
2018-12-23,ICB,95.86,96.47,95.08,96.47,29433
2018-12-23,IDLC,62.4,62.4,61.4,62.3,118987
2018-12-23,INTECH,61.0,61.5,57.6,57.8,1114760
2018-12-23,KPCL,50.6,54.6,50.6,54.2,3401860
2018-12-23,MEGHNACEM,82.26,82.45,81.27,82.18,20983
2018-12-23,MEGHNALIFE,79.0,80.0,73.7,75.2,436590
2018-12-23,MICEMENT,67.0,67.5,65.9,66.2,2130
2018-12-23,MJLBD,82.4,84.8,82.4,84.2,99843
2018-12-23,NPOLYMAR,55.96,57.43,55.96,56.2,40419
2018-12-23,NTLTUBES,95.45,95.45,94.27,94.73,147444
2018-12-23,ORIONINFU,52.6,53.0,51.7,51.8,71550
2018-12-23,PRAGATILIF,103.02,103.63,96.76,97.8,95351
2018-12-23,PREMIERCEM,63.3,63.5,63.2,63.3,816
2018-12-23,PRIMELIFE,59.3,59.4,55.3,55.7,248927
2018-12-23,RUPALILIFE,88.1,89.5,83.8,86.3,685731
2018-12-23,SAIHAMTEX,56.0,56.0,51.6,52.3,1020940
2018-12-23,SAMORITA,64.14,65.57,64.05,65.19,22404
2018-12-23,SAVAREFR,98.0,102.8,97.0,97.2,4166
2018-12-23,SHASHADNIM,55.31,55.98,54.64,55.5,395108
2018-12-23,SINOBANGLA,52.5,52.5,50.5,50.7,277202
2018-12-23,SPCL,86.42,89.36,86.42,87.1,349737
2018-12-23,UTTARAFIN,59.26,59.26,58.02,58.21,72072
2018-12-23,VFSTDL,51.72,51.72,49.95,50.31,455016
2018-12-24,AAMRANET,53.49,53.49,52.83,53.12,52993
2018-12-24,ACMELAB,75.1,76.1,74.8,75.8,69218
2018-12-24,AIL,59.14,59.98,59.05,59.23,101575
2018-12-24,AL-HAJTEX,89.0,89.0,85.7,87.6,186583
2018-12-24,ANWARGALV,65.86,67.48,65.76,66.33,42635
2018-12-24,BBSCABLES,81.91,83.0,81.73,82.36,478625
2018-12-24,BPML,85.5,85.5,83.5,83.8,150652
2018-12-24,BRACBANK,62.87,63.13,61.57,62.35,1885207
2018-12-24,BSCCL,88.2,90.7,86.8,90.2,263766
2018-12-24,BSRMLTD,73.5,73.8,72.9,73.0,232812
2018-12-24,BSRMSTEEL,56.1,56.4,55.8,56.0,21607
2018-12-24,BXPHARMA,65.86,66.68,65.77,66.41,237476
2018-12-24,DBH,97.09,98.59,97.01,97.09,25151
2018-12-24,DOREENPWR,61.57,61.74,61.34,61.49,48438
2018-12-24,FAREASTLIF,61.3,61.7,58.5,58.9,183968
2018-12-24,GQBALLPEN,76.4,76.7,75.3,76.3,39327
2018-12-24,GREENDELT,52.09,55.64,50.45,55.03,106634
2018-12-24,HAKKANIPUL,70.9,70.9,67.3,67.6,64148
2018-12-24,IDLC,62.7,62.7,61.5,62.1,73999
2018-12-24,INTECH,58.5,59.5,57.5,58.4,1208260
2018-12-24,KPCL,54.2,56.5,52.7,55.5,2888950
2018-12-24,MEGHNACEM,82.08,82.63,81.63,82.0,13384
2018-12-24,MEGHNALIFE,75.0,75.4,72.1,73.2,227058
2018-12-24,MICEMENT,66.3,66.4,66.2,66.3,672
2018-12-24,MJLBD,82.0,85.0,82.0,83.1,92470
2018-12-24,NPOLYMAR,55.96,56.7,55.96,56.12,84767
2018-12-24,NTLTUBES,95.27,95.27,94.18,94.36,168641
2018-12-24,ORIONINFU,52.6,52.7,51.1,51.4,79202
2018-12-24,PRAGATILIF,98.15,99.37,92.76,94.85,90668
2018-12-24,PREMIERCEM,63.8,66.0,63.8,65.8,3369
2018-12-24,PRIMELIFE,55.3,57.4,53.9,54.5,176192
2018-12-24,RUPALILIFE,85.8,86.0,82.3,83.0,588943
2018-12-24,SAIHAMTEX,52.3,52.3,49.9,51.2,566488
2018-12-24,SAMORITA,65.19,65.19,63.95,64.24,15278
2018-12-24,SAVAREFR,100.0,100.1,93.3,96.1,2733
2018-12-24,SHASHADNIM,55.31,58.36,55.31,56.55,1363394
2018-12-24,SINOBANGLA,50.8,52.3,50.7,51.4,217433
2018-12-24,SPCL,86.91,88.08,83.96,87.4,310185
2018-12-24,UTTARAFIN,58.31,58.79,58.12,58.6,34854
2018-12-24,VFSTDL,51.2,51.46,49.52,50.4,513427
2018-12-26,AAMRANET,53.21,53.21,52.83,53.12,60784
2018-12-26,ACMELAB,75.6,78.0,75.5,77.8,219511
2018-12-26,AIL,59.05,59.7,58.95,59.14,81728
2018-12-26,AL-HAJTEX,88.0,92.1,87.0,91.4,373953
2018-12-26,ANWARGALV,66.33,66.62,65.76,66.14,44928
2018-12-26,BBSCABLES,82.73,82.82,82.18,82.45,283960
2018-12-26,BPML,84.5,84.5,81.4,82.1,370400
2018-12-26,BRACBANK,62.61,63.57,62.52,63.39,855258
2018-12-26,BSCCL,90.3,91.1,90.1,90.3,130443
2018-12-26,BSRMLTD,73.0,73.6,72.6,72.8,126150
2018-12-26,BSRMSTEEL,56.1,56.7,55.8,56.1,229986
2018-12-26,BXPHARMA,66.5,68.5,66.41,67.68,1295228
2018-12-26,DBH,97.41,98.2,97.17,97.25,11410
2018-12-26,DOREENPWR,61.34,61.49,61.09,61.34,39590
2018-12-26,FAREASTLIF,58.6,60.7,58.5,59.5,222041
2018-12-26,GQBALLPEN,75.0,75.5,70.8,74.6,32795
2018-12-26,GREENDELT,52.61,55.12,52.09,52.36,1184
2018-12-26,HAKKANIPUL,67.7,71.8,67.1,71.5,43133
2018-12-26,IDLC,61.7,62.3,61.6,62.3,38051
2018-12-26,INTECH,59.2,59.3,56.6,57.0,846299
2018-12-26,KPCL,55.6,55.6,52.4,53.1,2005920
2018-12-26,MEGHNACEM,83.18,83.62,81.9,82.63,18928
2018-12-26,MEGHNALIFE,74.4,75.5,72.9,74.9,214153
2018-12-26,MICEMENT,66.0,67.8,65.4,66.0,854
2018-12-26,MJLBD,83.1,88.5,83.1,86.5,583839
2018-12-26,NPOLYMAR,56.04,57.35,56.04,56.78,35064
2018-12-26,NTLTUBES,95.18,95.45,94.18,94.64,113545
2018-12-26,ORIONINFU,52.4,52.4,50.5,50.7,166752
2018-12-26,PRAGATILIF,93.98,98.33,93.98,97.02,45426
2018-12-26,PREMIERCEM,64.0,65.6,64.0,64.8,3101
2018-12-26,PRIMELIFE,54.0,56.1,53.9,55.5,146962
2018-12-26,RUPALILIFE,83.3,88.6,83.2,86.9,598611
2018-12-26,SAIHAMTEX,52.0,52.6,51.1,51.3,1643870
2018-12-26,SAMORITA,64.05,66.62,64.05,65.29,22888
2018-12-26,SAVAREFR,100.0,100.0,96.9,96.9,3833
2018-12-26,SHASHADNIM,56.26,58.07,55.69,57.02,539514
2018-12-26,SINOBANGLA,52.0,52.0,50.3,50.4,255035
2018-12-26,SPCL,87.0,87.2,83.18,85.04,243670
2018-12-26,UTTARAFIN,58.12,59.26,58.12,58.6,35254
2018-12-27,AAMRANET,52.83,54.34,52.83,53.87,90061
2018-12-27,ACMELAB,77.0,82.0,76.7,79.9,303417
2018-12-27,AIL,59.51,59.51,58.77,59.23,87590
2018-12-27,AL-HAJTEX,91.4,92.4,87.3,87.9,293820
2018-12-27,ANWARGALV,66.24,67.57,65.86,66.52,70146
2018-12-27,BBSCABLES,82.91,87.45,82.91,86.55,1323168
2018-12-27,BPML,83.0,83.0,80.3,81.3,503423
2018-12-27,BRACBANK,63.57,64.09,62.52,63.22,3188927
2018-12-27,BSCCL,90.3,90.6,88.1,89.9,76743
2018-12-27,BSRMLTD,73.3,74.6,72.6,74.2,251671
2018-12-27,BSRMSTEEL,56.5,56.5,55.6,55.9,109386
2018-12-27,BXPHARMA,68.05,69.32,67.68,69.05,257727
2018-12-27,DBH,97.49,98.51,97.33,98.12,10307
2018-12-27,DOREENPWR,62.22,62.22,61.01,61.74,82668
2018-12-27,FAREASTLIF,60.3,62.1,59.5,61.2,320988
2018-12-27,GQBALLPEN,75.5,75.5,72.5,74.2,24730
2018-12-27,GREENDELT,49.93,54.78,49.93,53.82,7251
2018-12-27,HAKKANIPUL,74.5,75.4,69.6,73.2,49475
2018-12-27,IDLC,62.3,63.0,61.9,62.7,225194
2018-12-27,INTECH,57.9,58.0,55.7,56.2,699074
2018-12-27,KPCL,53.5,53.9,51.5,51.9,1926700
2018-12-27,MEGHNACEM,82.63,83.26,82.08,82.54,14048
2018-12-27,MEGHNALIFE,75.9,77.8,74.9,75.9,472776
2018-12-27,MICEMENT,66.2,68.0,66.1,67.4,2169
2018-12-27,MJLBD,84.6,88.7,84.5,85.7,751990
2018-12-27,NPOLYMAR,56.78,57.27,56.04,56.7,72908
2018-12-27,NTLTUBES,95.45,95.45,93.91,94.27,90386
2018-12-27,ORIONINFU,51.9,51.9,50.0,50.2,132500
2018-12-27,PRAGATILIF,98.41,100.24,96.5,98.24,94351
2018-12-27,PREMIERCEM,63.1,71.3,63.1,70.7,59190
2018-12-27,PRIMELIFE,55.7,57.6,54.2,56.7,201639
2018-12-27,PTL,48.2,50.13,47.73,50.05,2511352
2018-12-27,RUPALILIFE,87.6,89.8,85.3,88.4,530035
2018-12-27,SAIHAMTEX,51.5,51.5,50.5,51.0,51615
2018-12-27,SAMORITA,66.05,66.52,64.24,65.86,22211
2018-12-27,SHASHADNIM,56.17,57.6,55.5,57.12,1115237
2018-12-27,SINOBANGLA,51.0,51.0,50.2,50.4,205082
2018-12-27,SPCL,85.73,90.53,85.73,90.14,803460
2018-12-27,UTTARAFIN,58.79,59.26,58.4,58.88,56645
2018-12-27,VFSTDL,49.52,50.84,47.4,50.14,720014
2019-01-01,AAMRANET,54.82,55.66,53.87,55.38,145266
2019-01-01,ACMELAB,81.8,81.8,78.3,78.5,119233
2019-01-01,AIL,60.45,62.22,59.51,61.76,304344
2019-01-01,AL-HAJTEX,89.3,91.3,88.5,90.8,168070
2019-01-01,ANWARGALV,67.29,68.14,66.71,67.19,71014
2019-01-01,BBSCABLES,87.18,94.45,87.18,93.36,3412475
2019-01-01,BPML,83.0,84.9,80.8,84.2,583936
2019-01-01,BRACBANK,64.0,65.3,63.48,65.13,712259
2019-01-01,BSCCL,89.9,93.6,89.6,93.1,277493
2019-01-01,BSRMLTD,74.5,77.2,74.3,76.8,351016
